country_id,country_name,phone_code,country_code,last_update_date
191,SAINT_VINCENT_AND_GRENADINES,1-784,VC,
192,SAMOA,685,WSM,
193,SAN_MARINO,378,SMR,
194,SAO_TOME_AND_PRINCIPE,239,STP,
195,SAUDI_ARABIA,966,SAU,
196,SENEGAL,221,SEN,
197,SERBIA,381,SRB,
198,SEYCHELLES,248,SYC,
199,SIERRA_LEONE,232,SLE,
200,SINGAPORE,65,SGP,
201,SLOVAKIA,421,SVK,
202,SLOVENIA,386,SVN,
203,SOLOMON_ISLANDS,677,SLB,
204,SOMALIA,252,SOM,
205,SOUTH_AFRICA,27,ZAF,
206,SOUTH_GEORGIA_AND_SOUTH_SANDWICH_ISLANDS,500,GS,
207,SOUTH_SUDAN,211,SSD,
208,SPAIN,34,ESP,
209,SRI_LANKA,94,LKA,
210,SUDAN,249,SDN,
211,SURINAME,597,SUR,
212,SVALBARD_AND_JAN_MAYEN_ISLANDS,47,SJ,
213,SWAZILAND,268,SZ,
214,SWEDEN,46,SWE,
215,SWITZERLAND,41,CHE,
216,SYRIA,963,SY,
217,TAIWAN,886,TW,
218,TAJIKISTAN,992,TJK,
219,TANZANIA,255,TZA,
220,THAILAND,66,THA,
221,TIMOR-LESTE,670,TLS,
222,TOGO,228,TGO,
223,TOKELAU,690,TKL,
224,TONGA,676,TON,
225,TRINIDAD_AND_TOBAGO,1-868,TTO,
226,TUNISIA,216,TUN,
227,TURKEY,90,TR,
228,TURKMENISTAN,993,TKM,
229,TURKS_AND_CAICOS_ISLANDS,1-649,TCA,
230,TUVALU,688,TUV,
231,UGANDA,256,UGA,
232,UKRAINE,380,UKR,
233,UNITED_ARAB_EMIRATES,971,ARE,
234,UNITED_KINGDOM,44,GBR,
235,UNITED_STATES_OF_AMERICA,1,USA,
236,US_MINOR_OUTLYING_ISLANDS,1,UM,
237,URUGUAY,598,URY,
238,UZBEKISTAN,998,UZB,
239,VANUATU,678,VUT,
240,VENEZUELA,58,VE,
241,VIET_NAM,84,VNM,
242,UNITED_STATES_VIRGIN_ISLANDS,1-340,US_VI,
243,WALLIS_AND_FUTUNA,681,WF,
244,WESTERN_SAHARA,212,ESH,
245,YEMEN,967,YEM,
246,ZAMBIA,260,ZMB,

247,ZIMBABWE,263,ZWE,
